total_tasks,completed_tasks,avg_task_delay,budget_allocated,budget_spent,team_size,team_experience,sprint_velocity,past_delay_rate,completion_rate,budget_burn_rate,productivity_score,delayed
152,243,5.891085345,55774,27999.48925,4,1.775189252,49.56066476,0.466683156,1.598684211,0.502016876,12.39016619,0
229,196,2.772656457,253127,278761.0902,13,8.329481013,55.94141182,0.05270979,0.855895197,1.10126968,4.303185525,0
142,30,9.103391021,192055,121036.1531,7,3.523012773,33.29131675,0.03756623,0.211267606,0.6302161,4.755902393,1
64,104,0.451006772,146468,129836.347,7,2.18961692,38.48114178,0.717181447,1.625,0.886448555,5.497305968,0
156,45,1.094675987,408478,323129.892,9,4.958700757,17.82703182,0.538094664,0.288461538,0.79105825,1.980781314,1
121,82,3.916301405,330277,331518.0725,3,6.795609215,37.28978055,0.508705984,0.67768595,1.003757672,12.42992685,1
238,236,1.244375573,458155,348112.1847,10,4.428566605,96.99025954,0.24312453,0.991596639,0.75981313,9.699025954,0
70,105,9.564156976,50781,56307.71071,5,1.491088675,95.02366435,0.744750732,1.5,1.108834224,19.00473287,0
152,78,7.979893221,164586,166453.6318,6,6.395150257,40.13904611,0.168236579,0.513157895,1.011347453,6.689841019,1
171,46,2.589826516,499916,476619.5243,11,9.121629485,61.37685427,0.189934744,0.269005848,0.95339922,5.579714024,1
260,196,5.88554229,339768,359259.9523,6,4.448938294,91.8635852,0.460712171,0.753846154,1.057368417,15.31059753,1
264,224,9.823305151,56823,58403.59564,12,2.946994999,10.55654404,0.286279862,0.848484848,1.027816124,0.879712003,1
124,180,8.841989781,68489,35967.48273,14,4.983196113,82.96152133,0.247462981,1.451612903,0.525157072,5.925822952,0
252,117,6.007984464,221033,171591.0229,7,1.435264399,95.35325975,0.645237645,0.464285714,0.776314048,13.62189425,1
137,124,9.037239672,341262,392985.4119,9,8.38438826,18.21931609,0.650971745,0.905109489,1.151565108,2.024368454,1
166,118,9.891849098,150417,88446.24716,6,8.437067299,24.53029174,0.82451707,0.710843373,0.588006988,4.088381957,1
149,148,7.433528229,131816,133920.7832,3,6.292004171,96.46716725,0.417708567,0.993288591,1.015967585,32.15572242,0
153,168,0.649864095,203335,240385.5382,11,4.177926,58.37861293,0.073085091,1.098039216,1.182214268,5.30714663,0
201,74,4.015802364,325709,174755.5943,6,8.19805028,11.2776971,0.273666385,0.368159204,0.53653904,1.879616184,0
180,25,8.378257353,201426,196901.1092,11,5.992183223,33.18687989,0.980005463,0.138888889,0.977535716,3.016989081,1
199,239,2.305691958,224023,185425.6066,8,8.433390777,50.49493068,0.596258575,1.201005025,0.827707899,6.311866336,0
102,228,8.306425178,403323,365177.7911,3,6.683129133,72.36180199,0.709737085,2.235294118,0.905422679,24.12060066,0
51,216,1.20338762,73648,41223.65312,14,8.059649259,75.98443403,0.00735783,4.235294118,0.559738936,5.427459574,0
137,114,0.469453571,493945,261842.6482,5,6.387066939,99.58793616,0.518205732,0.832116788,0.530104866,19.91758723,0
285,152,3.840906115,91971,88918.17555,13,4.727269614,35.87600794,0.037528658,0.533333333,0.966806662,2.759692919,0
207,121,0.367319374,68658,73897.74518,4,9.621512739,58.43980917,0.569230212,0.584541063,1.076316601,14.60995229,1
87,22,9.57270263,71253,74631.15706,11,5.870024424,57.99911931,0.92077085,0.252873563,1.047410734,5.27264721,1
179,200,8.262056958,229635,202231.2798,14,6.445805667,46.50807335,0.968419131,1.117318436,0.88066401,3.322005239,1
241,42,8.007696871,207462,118233.9993,3,2.984388755,25.22457045,0.540552675,0.174273859,0.569906775,8.408190149,1
237,248,6.29777923,400808,393445.6022,11,6.630857105,97.97109069,0.458204805,1.046413502,0.981631111,8.90646279,0
70,72,2.16324023,232650,155717.8141,11,6.144468845,86.7985468,0.945017094,1.028571429,0.669322218,7.890776982,0
210,184,5.182603667,260097,295924.8655,10,2.663545582,54.84997255,0.673609832,0.876190476,1.137748092,5.484997255,1
253,221,5.972740724,153850,167201.9879,10,1.536283876,64.29208804,0.06489928,0.873517787,1.086785752,6.429208804,0
107,221,5.250315009,475874,474240.8371,13,6.439233877,30.45349482,0.465725578,2.065420561,0.996568077,2.342576525,0
71,102,2.60233368,187924,218779.6492,14,7.873230424,58.94083634,0.240245018,1.436619718,1.164192169,4.210059738,0
285,164,5.152479243,276058,144100.9716,3,5.710612338,72.54731198,0.469804321,0.575438596,0.521995275,24.18243733,0
138,104,4.911863409,183623,186439.8315,13,3.040953628,56.36503255,0.455465572,0.753623188,1.015340298,4.335771735,1
98,97,9.963357758,384091,280835.7956,10,6.99869779,99.12566535,0.582144803,0.989795918,0.731169946,9.912566535,0
268,220,8.97436148,111001,125902.4536,12,1.720951539,65.02074906,0.35677049,0.820895522,1.13424612,5.418395755,1
108,129,4.633807482,230231,158093.328,5,4.976503343,43.38763413,0.164270449,1.194444444,0.686672638,8.677526827,0
219,20,6.229373829,172775,174053.4572,13,2.470300826,79.49368249,0.503719435,0.091324201,1.00739955,6.114898653,1
269,70,7.478716041,494923,551518.8871,9,2.66013146,25.34162604,0.830202884,0.260223048,1.114352914,2.815736227,1
237,192,0.348651602,83243,44048.84697,13,2.820645542,44.60642323,0.664012228,0.810126582,0.529159773,3.431263326,0
257,224,8.949214412,202872,157906.0918,3,4.480363513,41.22630553,0.338367866,0.871595331,0.778353306,13.74210184,0
64,23,8.601268164,388083,401128.9233,3,1.460351851,48.86263856,0.935523023,0.359375,1.033616322,16.28754619,1
239,209,4.574320978,369972,302801.076,12,4.580140968,80.36018433,0.912207571,0.874476987,0.818443223,6.696682028,0
239,212,3.911697661,311716,214172.8445,7,5.605367024,53.57557289,0.209348399,0.887029289,0.687076841,7.653653271,0
224,132,2.729593749,450455,294536.1929,7,5.349648565,81.46130052,0.039417585,0.589285714,0.653863744,11.63732865,0
239,51,4.766768283,318854,188781.5878,10,4.445056904,61.88400128,0.741308708,0.213389121,0.592062787,6.188400128,1
100,53,0.443766635,464600,511055.6755,9,8.552319473,40.78624912,0.827610261,0.53,1.099990692,4.531805458,1
157,111,8.521935333,464254,419104.7332,10,2.307940232,82.89808693,0.967864566,0.707006369,0.902748782,8.289808693,1
104,114,0.354223684,221918,122824.836,8,5.551270694,31.44607035,0.889836394,1.096153846,0.553469461,3.930758794,0
293,91,3.290513654,269055,206582.1043,8,1.558372753,30.19446818,0.600534768,0.310580205,0.767806226,3.774308523,1
113,58,9.315894883,350135,265196.9953,4,1.64040111,55.40526316,0.530052339,0.513274336,0.757413556,13.85131579,1
298,173,7.352126545,260129,163157.4438,8,6.164792647,33.47643214,0.027841051,0.580536913,0.627217433,4.184554017,0
180,181,2.813909606,450187,362335.41,7,6.094165824,10.81783315,0.246656447,1.005555556,0.804855338,1.545404735,0
278,201,2.52649094,472355,345985.657,5,8.902301616,68.34677746,0.459614752,0.723021583,0.732469556,13.66935549,0
100,137,0.050821398,397589,293922.6754,8,6.020863081,55.99844393,0.6285039,1.37,0.739262594,6.999805492,0
184,22,6.957142928,258139,262609.6036,10,9.638119184,50.0966033,0.557251833,0.119565217,1.01731859,5.00966033,1
70,142,0.487835817,130257,85485.63316,11,1.438253636,97.02716632,0.74263599,2.028571429,0.65628437,8.820651483,0
122,69,5.326025194,349855,332118.0411,3,1.882069163,61.40792656,0.279766931,0.56557377,0.949301971,20.46930885,1
216,31,9.621219726,56530,50846.17627,5,1.396592754,87.708842,0.564952608,0.143518519,0.899454737,17.5417684,1
67,212,1.094688601,323260,290179.1099,5,2.667491653,22.55052126,0.088142243,3.164179104,0.897664759,4.510104252,0
181,73,8.94479931,115794,111637.5908,13,5.871430998,61.22858168,0.413665524,0.403314917,0.964105142,4.709890899,1
138,152,9.914753351,443498,391993.4354,10,6.810149633,88.11816641,0.750160833,1.101449275,0.883867425,8.811816641,0
109,241,0.615170262,260545,290632.3667,3,1.410266422,62.47951816,0.693400853,2.211009174,1.11547858,20.82650605,0
63,241,8.829062691,182970,178012.6226,7,9.513738009,74.62127603,0.990642737,3.825396825,0.972906064,10.66018229,0
291,76,5.160790204,54135,47794.39893,5,8.57948839,43.4839211,0.277891126,0.261168385,0.882874276,8.696784221,1
299,164,9.065137194,449845,486207.8536,4,3.669512339,18.32045653,0.498189299,0.548494983,1.080834184,4.580114133,1
58,131,5.713189419,421616,389700.7631,10,1.694687772,51.21102656,0.329530414,2.25862069,0.924302595,5.121102656,0
139,66,6.621120101,437291,307765.8315,5,2.528983659,45.50314518,0.440603114,0.474820144,0.703800973,9.100629035,1
102,170,5.43778908,300870,194051.0536,9,2.142499724,88.03541641,0.85695013,1.666666667,0.644966443,9.781712935,0
179,226,8.644928803,139087,84374.27031,14,2.109554014,31.95957721,0.684209075,1.262569832,0.60662945,2.282826944,0
133,248,7.33909919,246103,278002.5383,13,5.667055198,97.00608048,0.882441191,1.864661654,1.129618649,7.462006191,0
141,104,5.212603122,345524,344520.1845,3,3.212626982,96.23243078,0.203511108,0.737588652,0.997094802,32.07747693,0
160,161,8.681608041,442095,511134.7244,8,4.223257449,32.28684788,0.873361118,1.00625,1.156164907,4.035855985,1
237,85,2.452855323,329215,303636.3983,5,9.905548,41.32467599,0.059762274,0.358649789,0.922304264,8.264935199,1
248,94,1.573406597,70074,58258.16536,10,7.15882824,90.60001668,0.88859928,0.379032258,0.831380617,9.060001668,1
